german	russian
der/die Krankenpfleger/in, -/-nen	санитар, сиделка
langsam	постепенно
leidtun, tut leid, tat leid, hat leidgetan	сожалеть
müde	усталый
schön (ganz schön anstrengend)	хорошенько, довольно (довольно утомительно-таки)
die Schwester, -n	сестра
so ... wie (Ich verdiene so viel Geld wie meine Schwester.)	столько же ... сколько (Я зарабатываю столько же денег, сколько и моя сестра.)
der Stress (Sg.)	стресс, напряжение
überfliegen, überfliegen, überflog, hat überflogen (Bitte überfliegen Sie kurz den Text.)	пробежать глазами (Пожалуйста, пробежите глазами текст.)
vorbei sein	миновать, проходить, кончаться
während (+ G.) (während der Ausbildung)	во время (во время обучения)
wahrscheinlich	вероятно
die Wand, "-e (die eigenen vier Wände)	стена (свои собственные четыре стены)
die Zeit, -en	время
zwar	хоть
bis bald	до скорого
danke	спасибо
geben, gibt, gab, hat gegeben (Ratschläge geben)	давать (давать советы)
machen (sich ein schönes Wochenende machen)	(устроить себе хорошие выходные)
machen (Mach's gut!)	(Пока! Счастливо!)
der Ratschlag, "-e	совет
der Schluss, "-e	заключение
die Anrede, -n	обращение, приветственная речь
aussehen, sieht aus, sah aus, hat ausgesehen (Wie sieht eigentlich deine Wohnung aus?)	выглядеть (Как же выглядит твоя квартира?)
dabei (Ich räume meine Wohnung auf. Dabei höre ich Musik.)	вместе с тем (Я навожу порядок в квартире и, вместе с тем, слушаю музыку.)
die Grußformel, -n	форма приветствия
die Lebenssituation, -en	жизненная ситуация
der Nachteil, -e	убыток, ущерб, невыгода, отрицательный момент
die Sicht (Sg.)	позиция, точка зрения
der Vorteil, -e	выгода, достоинство
abraten (von + D.), rät ab, riet ab, hat abgeraten (Ich rate dir von dieser Reise ab.)	отговаривать, не советовать (Я не советую тебе предпринимать эту поездку.)
die Anstellung, -en	должность, место работы
der/die Anwalt/Anwältin, "-e/-nen	адвокат
der/die Arzt/Ärztin, "-e/-nen	врач
der/die Automechaniker/in, -/-nen	автомеханик
befürchten	опасаться
damit (Ich komme nicht damit klar, dass mein Bruder immer zu spät kommt.)	с этим (Я не могу смириться с тем, что мой брад постоянно опаздывает.)
darum (Kümmere ich dich endlich darum, dass die Wohnung sauber gemacht wird.)	об этом (Позаботься наконец-таки о том, чтобы квартира стала чистой.)
dazu	к тому
einfach (Diese Aufgabe ist nicht einfach.)	простой (Это не простое задание.)
einziehen, zieht ein, zog ein, ist eingezogen	въезжать
ermutigen (zu + D.)	подбодрять
genug	достаточно
ja (Du bist ja heute gut drauf!)	же (Ты же сегодня в хорошем настроении!)
der Job, -s	работа
der/die Kellner/in, -/-nen	официант
klarmachen (Er versucht, ihr seinen Standpunkt klarzumachen.)	разъяснять (Он пытается разъяснить ей свою точку зрения.)
die Klinik, -en	клиника
der/die Mitbewohner/in, -/-nen	сожитель
die Partnerarbeit (Sg.)	работа с партнёром
raten (zu + D.), rät, riet, hat geraten (Ich rate dir dazu, dich viel zu bewegen.)	советовать (Я советую тебе много двигаться.)
das Rollenspiel, -e	ролевая игра
sicher (Ich bin mir noch nicht sicher, ob ich ausziehen soll.)	уверен (Я ещё не уверен, нужно ли мне уезжать на другую квартиру.)
der/die Student/in, -en/-nen	студент
teuer, teurer, am teuersten	дорогой
übernehmen, übernimmt, übernahm, hat übernommen	брать на себя
die Unterstützung, -en	поддержка
der Vater, "-	отец
der/die Verkäufer/in, -/-nen	продавец
die Wahl, -en	выбор
die Wohngemeinschaft, -en (WG)	коммунальная квартира, общежитие
abschließen, schließt ab, schloss ab, hat abgeschlossen (Schließ die Tür ab.)	закрывать на замок (Закрой дверь на замок.)
die Adresse, -n	адресс
der Anhang, "-e	дополнение, приложение
architektonisch	архитектонический, композиционный
die Art, -en	вид, род
die Attraktion, -en	притяжение, привлекательность, аттракцион
der Aufzug, "-e	лифт
das Ausland (Sg.)	зарубежье
bauen	строить
das Bauwerk, -e	здание, сооружение
befinden (sich), befindet, befand, hat befunden (Die Küche befindet sich im 1. Stock.)	находиться (Кухня находится на первом этаже.)
der Bereich, -e	область, сфера
der/die Besucher/in, -/-nen	посетитель
bringen, bringt, brachte, hat gebracht (Er bringt seine Kinder zur Schule.)	приносить, привозить (Он везёт своих детей в школу.)
die Burg, -en	крепость
decken (den Tisch decken)	накрывать (накрывать на стол)
deutschsprachig	немецкоговорящий
direkt	прямо, непосредственно
dringen (durch + A.) (durch die Wand dringt kein Laut.)	проникать, доходить (Через стену не проникает ни один звук.)
das Eingangstor, -e	входные ворота
erschöpft	утомлённый, изнурённый
extrem	крайний, радикальный, предельный
die Fantasie, -n	фантазия
der Farbeffekt, -e	цветовой эффект, подбор красок
der Fortschritt, -e	успех, прогресс
der Fotoapparat, -e	фотоаппарат
führen (ein Gespräch führen mit jmd.)	вести (вести беседу с к.-л.)
führen (Touristen durch eine Stadt führen)	вести (вести туристов по городу)
der Fußboden, "-	пол
das Gerücht, -e	слух, молва
der Hof, "-e	двор
ideal	идеальный
die Idee, -n	идея
das Inland (Sg.)	своя страна
innerhalb (+ G.) (innerhalb von 30 Minuten)	в течение (в течение 30 минут)
insgesamt	в целом, итого
das Jahrhundert, -e	столетие, век
der Kastellan, -e	кастелян (смотритель замка)
der Klangeffekt, -e	звуковой эффект
klicken (Die Fotoapparate klicken leise.)	щшёлкать (Фотоаппараты снимают тихо.)
der König, -e	король
das Königshaus, "-er	королевский дом
der Königspalast, "-e	королевский дворец
die Kulisse, -n	кулиса
die Kunst, "-e	искусство
künstlich	искусственный
der Laut, -e	звук
lebhaft	оживлённо
legen (etw. legt sich über etw.)	класть (что-то стелится над чем-то)
leisten (jmd. Gesellschaft leisten)	совершать (составить к.-л. компанию)
der Lichteffekt, -e	световой эффект
das Märchenschloss, "-er	сказочный замок
die Mauer, -n	стена
menschenscheu	нелюдимый, боящийся людей)
meterdick	толщиной в метр
das Mitglied, -er	член (организации)
der Mond, -e	луна
die Neugierde (Sg.)	любопытство
oben	верх
das Personal (Sg.)	персонал, личный состав, штат
der Raum, "-e	комната, помещение
die Romantik (Sg.)	романтика
scheinen, scheint, schien, hat geschienen (Die Sonne scheint.)	светить (Солнце светит.)
das Schlafzimmer, -	спальная комната
schleusen	проводить, переправлять
das Schloss, "-er (das Schloss Neuschwanstein)	замок (замок Нойшванштайн)
die Sehnsucht, "-e	тоска, страстное желание
speisen	кушать
das Speisezimmer, -	столовая (в квартире)
der Sternenhimmel, -	звёздное небо
der Stil, -e	стиль
die Stille (Sg.)	тишина
das Stockwerk, -e	этаж
der Technikfreak, -s	фанат техники
technisch	технический
der Tisch, -e	стол
der/die Tourist/in, -en/-nen	турист
die Traumwelt, -en	мир грёз
umringen	обступать, окружать кольцом
verfolgen	преследовать, идти следом
verknüpfen (mit + D.)	связывать
versenkbar	опускающийся, убирающийся (во внутрь)
verstecken	прятать
verträumt	мечтательный, погружённый в свои мысли
die Vision, -en	видение
das Vorbild, -er	пример, образец
die Vorlage, -n	проект
zuprosten (Er nahm das Glas und prostete seinen Gästen zu.)	чокаться, пить за здоровье, поднимать бокал (Он взял бокал и чокнулся со своими гостями.)
zurückziehen (sich), zieht sich zurück, zog sich zurück, hat sich zurückgezogen (Ich bin gern allein und ziehe mich oft zurück.)	уединяться (Я люблю быть один и часто уединяюсь.)
abfahren, fährt ab, fuhr ab, ist abgefahren	отъезжать
der Bandit, -en	бандит
der/die Bauer/Bäuerin, -n/-nen	крестьянин
beistehen, steht bei, stand bei, ist begestanden (Meine beste Freundin steht mir in allen schwierigen Situationen bei.)	поддерживать (Моя лучшая подруга поддерживает меня во всех трудных ситуациях.)
darstellen	изображать, представлять
der/die Doktorand/in, -en/-nen	докторант, диссертант
der Fall, "-e (auf jeden/keinen Fall)	случай (в любом случае / ни в коем случае)
fortlaufen, läuft fort, lief fort, ist fortgelaufen	убегать
der/die Fotograf/in, -en/-nen	фотограф
der Glaube (Sg.)	вера
hinfallen, fällt hin, fiel hin, ist hingefallen	упасть
losfahren, fährt los, fuhr los, ist losgefahren	трогаться (с места), отъезжать
missfallen, missfällt, missfiel, hat missfallen (Mir missfällt, wie du mit mir sprichst!)	не нравиться, быть неприятным (Мне неприятно то, как ты со мной разговариваешь.)
mitnehmen, nimmt mit, nahm mit, hat mitgenommen	брать с собой
nachdenken (über + A.), denkt nach, dachte nach, hat nachgedacht	размышлять
der/die Pädagoge/Pädagogin, -n/-nen	педагог
der/die Philosoph/in, -en/-nen	философ
der/die Polizist/in, -en/-nen	полицейский
der/die Praktikant/in, -en/-nen	практикант
der Soldat, -en	солдат
die Unterkunft, "-e	пребывание
weglaufen, läuft weg, lief weg, ist weggelaufen	убегать
der Wille, -n	воля
zuhören	слушать
der Apfel, "-	яблоко
arm, ärmer, am ärmsten	бедный
der/die Bettler/in, -/-nen	нищий, попрошайка
der/die Doktor/in, -en/-nen	доктор
essen, isst, aß, hat gegessen	есть, кушать
halten, hält, hielt, hat gehalten (etw. kühl/warm halten)	держать (держать ч.-л. в холоде/тепле)
das Huhn, "-er	курица
der/die Kaiserl/in, -/-nen	император, кайзер
der Kopf, "-e	голова
kühl	прохладный, холодный
mittags	в полдень
morgens	утром
die Plage, -n	мучение, хлопоты
ruhen	отдыхать
befolgen (einen Ratschlag befolgen)	следовать (следовать совету)
der Rat (Sg.)	совет
die Tat, -en	действие, деяние
umsetzen	внедрить, осуществить
übersetzen	переводить
die Versuchung, -en	искушение
die Schokolade, -n	шоколад
die Süßigkeit, -en	сладость
die Süßspeise, -n	сладкое блюдо, дессерт
das Bonbon, -s	конфета
der Fruchtgummi, -s	фруктовая жевательня резинка
der Keks, -e	печенье
rechts	справа, направо
der Schokoriegel, -	шоколадный батончик
Top (die Top 10)	топ (десятка лучших)
aromatisch	ароматный, ароматический
bitter	горький
cremig	кремовый, кремообразный
fruchtig	фруктовый, с ароматом свежих фруктов
gepfeffert	острый, пикантный, с перцем
gewürzt	приправленный пряностями
herb	терпкий, вяжущий, горький
köstlich	изысканный
leicht	лёгкий
sahnig	сливочный
säuerlich	кисловатый
scharf, schärfer, am schärfsten (Das Chili ist sehr scharf.)	острый (Перец чили очень острый.)
süßlich	сладковатый
zartbitter	с нежной горечью
zuckersüß	очень сладкий
also (Sie ist gestern spät ins Bett. Kein Wunder also, dass sie müde ist.)	итак, следоватьельно, стало быть, значит (Она вчера поздно легла спать. Не удивительно, что она сегодня уставшая.)
das Aroma, Aromen	аромат, запах
beeinflussen	влиять
bis zu (+ D.) (Bis zu 50 % Zucker kann eine Tafel Schokolade enthalten.)	до (До 50% сахара может содержаться в одной плитке шоколада.)
bitter-herb	неприятно горький
die Bitterschokolade, -n	горький шоколад
enthalten, enthält, enthielt, hat enthalten	содержать
entstehen, entsteht, entstand, ist entstanden	возникать, образовываться
der/die Ethnologe/Ethnologin, -n/-nen	этнолог
fein	мелкий, тонкий, утончённый
das Fett, -e	жир
das Fieber, -	лихорадка, высокая температура
ganz, ganze (Er hat den ganzen Kuchen gegessen.)	весь (Он съел весь пирог.)
das Gebiet, -e	область, район, территория, округ
das Gefäß, -e	сосуд
die Geschmacksvariante, -n	вариация вкуса
der Geschmacksverbesserer, -	улучшитель вкуса
gesüßt	подслащённый
das Getränk, -e	напиток
das Glückshormon, -e	гормон счастья
das Gramm, -e (g)	грамм
der Hauptbestandteil, -e	главный компонент
heilen	лечить, исцелять
der Honig, -e	мёд
der Husten (Sg.)	кашель
der/die Indianer/in, -/-nen	индеец
der Kakao, -s	какао
das Kakaopulver, -	какао-порошок
die Kalorie, -n	калория
der Karamell, -e	карамель
das Kilo, -s (kg)	килограмм
das Koffein (Sg.)	кофеин
die Köstlichkeit, -en	лакомство
das Marzipan (Sg.)	марципан
menschlich	человечный, человеческий
das Milchpulver, -	сухое молоко, молочный порошок
mindestens	по меньшей мере
mischen	смешивать
nahestehen (sich), stehen sich nahe, standen sich nahe, haben sich nahegestanden (Meine Schwester und ich stehen uns sehr nahe.)	быть близким, в близких отношения (Моя сестра и я были всегда очень близки.)
naschen (von + D.) (Hast du schon wieder von der Schokolade genascht?)	лакомиться, украдкой таскать еду (Ты опять съел украдкой шоколадку?)
die Nervennahrung (Sg.)	питание, полезное для нервов
der Nougat (Sg.)	нугат
die Nuss, "-e	орех
das Paket, -e	пакет, пачка
pro (Wie viel Schokolade isst du pro Woche?)	за, в (Сколько шоколада ты ешь в неделю?)
das Produkt, -e	продукт
produzieren	производить
der Prozent, -e	процент
die Psyche (Sg.)	психика
die Reihe (Sg.) (Die Firma produziert eine ganze Reihe spezieller Produkte.)	ряд, серия (Фирма производит целый ряд специальных продуктов.)
rund um (+ A.) (Ich sammle alles rund um Schokolade.)	в связи, по теме (Я собираю всё, что касается шоколада.)
das Sahnepulver, -	сухие сливки
der Schokoladenfan, -s	фанат шоколада
der Schokoladenladen, "-	магазин шоколада
der/die Schokoliebhaber/in, -/-nen	любитель шоколада
sorgen (für + A.)	заботиться
speziell	специально
der/die Spitzenreiter/in, -/-nen	лидер
stecken (in Schokolade stecken viele Kalorien.)	находиться (В шоколаде находится много калорий.)
die Substanz, -en	субстанция
süß	сладкий
die Tafel, -n (eine Tafel Schokolade)	доска, таблица, панель, плитка (плитка шоколада)
die Tradition, -en	традиция
die Variante, -n	вариант
das Vergnügen, -	удовольствие
verraten, verrät, verriet, hat verraten	предать
die Vollmilchschokolade, -n	шоколад на цельном молоке
weiterentwickeln	продолжать развивать
wissenswert	интересный, достойный изучения
das Wunder, -	чудо
zählen	считать, считаться
der Zucker, -	сахар
der Zuckergehalt (Sg.)	содержание сахара
zusätzlich	дополнительно
erstaunlich	удивительно, поразительно
total	совершенно, окончательно, тотально
der Feiertag, -e	праздничный день
der Festtag, -e	праздничный день
Ostern (Frohe Ostern!)	Пасха (Пасхальной радости!)
verschenken	подарить, раздаривать
die Abkürzung, -en	сокращение
der Artikel, - (Unbekannte Nomen notiere ich immer mit Artikel.)	артикль (Неизвестные имена существительные я всегда записываю с артиклем.)
der Bestandteil, -e	компонент, элемент, составная часть
das Fremdwort, "-er	иностранное слово
der Laden, "-	магазин
mitlernen (Ich lerne bei jedem Nomen auch den Artikel und die Pluralendung mit.)	попутно учу (Вместе с каждым именем существительным я учу артикль и форму множественного числа.)
neutral	нейтрально
nötig	необходимый
der Ernährungstipp, -s	рекомендация по поводу питания
der/die Feinschmecker/in, -/-nen	гурман
das Gericht, -e (Welche Gerichte stehen heute auf der Karte?)	блюдо (Какие блюда имеются в сегодняшнем меню?)
das Kaffeehaus, "-er	кофейный магазин
der Kaugummi, -s	жевательная резинка
der Koch, "-e	повор
der/die Konditor/in, -en/-nen	кондитер
der/die Konsument/in, -en/-nen	потребитель
der Kuchen, -	пирог
der Löffel, -	ложка
die Mahlzeit, -en	еда, трапеза, время приёма пищи
die Nachspeise, -n	десерт, сладкое
das Restaurant, -s	ресторан
die Torte, -n	торт
die Zutat, -en	ингредиент, компонент
achten (auf + A.)	обращать внимание
das Bioprodukt, -e	биопродукт
der/die Bürger/in, -/-nen	гражданин
das Etikett, -en	этикетка
das Fertiggericht, -e	полуфабрикат
der Großeinkauf, "-e	оптовая закупка
das Lebensmittel, -	продукт питания
der Preis, -e	цена, стоимость
der Supermarkt, "-e	супермаркет
die Tiefkühlware, -n	свежезамороженный продукт, продукт глубокой заморозки
der/die Verbraucher/in, -/-nen	потребитель
die Vermutung, -en	предположение
wegwerfen, wift weg, warf weg, hat weggeworfen	выбрасывать
gesund, gesünder, am gesündesten	здоровый, полезный для здоровья
rundum (mit meinem neuen Partner bin ich rundum glücklich.)	кругом, вокруг (С моим новым супригом я очень счастлива.)
der Beitrag, "-e (Ich habe gestern einen interessanten Beitrag im Fernsehen gesehen.)	статья, очерк, сообщение (Вчера по телевизору я смотрел интересную программу.)
die Aktion, -en	акция, кампания, мероприятие
werben (für + A.), wirbt, warb, hat geworben	агитировать, рекламировать
die App, -s	программа (от англ. "арр!сайоп")
durchführen	проводить (мероприятие)
die Homepage, -s	домашняя страница (в интернете)
landen	попасть, угодить, очутиться
der Müll (Sg.)	мусор, отходы
das Rezept, -e	рецепт
der Tipp, -s	совет, подсказка
die Tonne, -n	контейнер
unterstützen	поддерживать
verbrauchen	потреблять, расходовать
das Viertel, - (Ein Viertel der Lebensmittel landet im Müll.)	четверть (Четверть продуктов питания оказывается в мусорном контейнере.)
vorschlagen, schlägt vor, schlug vor, hat vorgeschlagen	предлагать
billig	дешёвый
die Brotfabrik, -en	хлебозавод
der Container, -	контейнер
ekelig	отвратительный
entsorgen	утилизировать
das Forum, Foren	форум
gestehen, gesteht, gestand, hat gestanden (Ich gestehe: Ich werfe oft Lebensmittel weg.)	признавать, сознаваться (Признаюсь, я часто выбрасываю продукты питания.)
der Joghurt, -s	йогурт
der Kommentar, -e	комментарий
lagern	хранить на складе
lang, lange (Ich war 3 Jahre lang unterwegs.)	долгий, продолжительный (Я на протяжении трёх лет был в разъездах.)
mitmachen	принимать участие
die Nachbarschaft, -en	соседство, соседи
offiziell	официально
rumstehen, steht rum, stand rum, hat rumgestanden (Wenn ein Joghurt länger rumsteht, mag ich ihn nicht mehr.)	стоять (без дела) (Когда йогурт простоит дольше, он мне больше не нравится.)
die Sache, -n	вещь, предмет
schockiert	шокированный
der Skandal, -e	скандал
spenden	пожертвовать
statt (+ D.)	вместо
teilen (Ich teile deine Meinung.)	разделять (Я разделяю твоё мнение.)
der Teller, -	тарелка
umgehen, geht um, ging um, ist umgegangen (Er geht sehr liebevoll mit seiner kleinen Schwester um.)	общаться, обращаться, обходиться (Он очень заботлив по отношению к своей младшей сестре.)
verantwortungsvoll	ответственный
verboten	запрещено
wegschmeißen, schmeißt weg, schmiss weg, hat weggeschmissen (ugs.)	выбрасывать
lieb	дорогой, любимый
vertreten, vertritt, vertrat, hat vertreten (Ich vertrete die gleiche Meinung wie du.)	представлять, защищать интересы (Я отстаиваю такую же позицию, что и ты.)
die Lebensmittelverschwendung (Sg.)	пустая трата продовольственных продуктов
herzhaft	сильно, основательно, крепко
lachen	смеяться
das Mal, -e	раз
wie oft	как часто
abnehmen, nimmt ab, nahm ab, hat abgenommen (durch das viele Joggen habe ich schon 2 Kilo abgenommen.)	похудеть (Благодаря бегу я похудела уже на 2 килограмма)
aktivieren	активизировать
anfänglich	начальный
die Anmeldung, -en	запись, заявление, заявка
anregen (zu + D.)	побуждать
die Anwendung, -en (die Anwendung von Wissen)	применение (применение знаний)
die Anzahl (Sg.)	число
die Atemübung, -en	дыхательное упражнение
außerdem	кроме того
die Auswirkung, -en (die Auswirkung auf den Körper)	воздействие, влияние (воздействие на организм)
bewegen	двигать, приводить в движение
die Bewegung, -en	движение
der Beweis, -e	доказательство
bilden (Der Körper bildet Hormone.)	создавать, формировать, образовывать (Организм создаёт гормоны.)
das Blut (Sg.)	кровь
die Dehnübung, -en	упражнение на растяжку
die Depression, -en	депрессия
die Durchblutung (Sg.)	кровоснабжение
die Ebene, -n	уровень, плоскость
echt (ein echtes Lachen)	настоящий (настоящий смех)
das Endorphin, -e	эндорфин
erfrischen	освежать, оживлять
der/die Erwachsene, -n	взрослый
das Fachgebiet, -e	область науки
fließen, fließt, floss, ist geflossen	течь, протекать
geraten (in + A.), gerät, geriet, ist geraten	попасть, очутиться, прийти
gering	незначительный, малый, низкий
der Gesichtsmuskel, -n	мышца лица
heftig	сильный, стремительный
der Herzschutz (Sg.)	защита сердца
das Hormon, -e	гормон
das Immunsystem, -e	иммунная система
intensiv	интенсивный
die Kilokalorie, -n	килокалория
die Klatschübung, -en	упражнение с хлопками
die Kombination, -en	комбинация
der Körper, -	тело, организм
der Lachclub, -s	клуб смеха
das Lach-Yoga (Sg.)	смехойога
längst (für die Wirkung von Lach-Yoga gibt es längst Beweise.)	очень давно, с давних пор (Уже давно есть доказательства действенности смехойоги.)
die Menge, -n (die Menge schädlicher Stresshormone im Blut)	масса, множество, огромное количество (множество вредных гормонов в крови)
motorisch	моторный, двигательный
mühevoll	трудный, трудоёмкий
der Muskel, -n	мускул, мышца
pantomimisch	пантомимный
perfekt	идеальный
positiv	позитивный
praktizieren	практиковать
schädlich	вредный
sogenannt	так называемый
der Sport (Sg.)	спорт
stärken	укреплять
das Stresshormon, -e	гормон стресса
der Stresszustand, -e	состояние стресса
therapeutisch	терапевтический
die Träne, -n	слеза
übergehen (in + A.), geht über, ging über, ist übergegangen (Das Weinen ging kurze Zeit später in Lachen über.)	переходить (Позже плачь перешёл в смех.)
die Übung, -en	упражнение
verbunden (mit + D.)	соединённый, связанный
verlängern	удлинять
vermuten	предполагать
der Volksmund (Sg.)	народное предание
die Volksweisheit, -en	народная мудрость
während (Während Peter aufräumt, putze ich den Boden.)	в то время как (В то время, как Питер наводит порядок, я мою пол.)
wertvoll	ценный
wirken (gegen + D.) (Das Medikament wirkt gegen Schmerzen.)	действовать (Препарат действует против боли.)
die Wirkung, -en	действие, воздействие
die Wissenschaft, -en	наука
die Yogaübung, -en	йога-упражнение
zudem	кроме того, к тому же
beschäftigt	занятый, работающий
die Medizin (Sg.)	медицина
verringern	уменьшать, снижать, сокращать
die Farbe, -n	цвет
hervorheben, hebt hervor, hob hervor, hat hervorgehoben	подчёркивать, отмечать
das Lernplakat, -e	учебный плакат
der Lernstoff (Sg.)	учебный материал
das Plakat, -e	плакат
vereinfachen	упрощать
visuell	визуальный
das Zeichen, -	знак, символ
der Zusammenhang, "-e	связь, контекст
die Erkenntnis, -se	познание
fröhlich	радостный
der/die Frühaufsteher/in, -/-nen	ранняя пташка, жаворонок (человек, привыкший рано вставать)
der Nachtmensch, -en	полуночник, сова (о человеке)
schwerfallen, fällt schwer, fiel schwer, ist schwergefallen (Es fällt mir morgens schwer aufzustehen.)	даваться тяжело (Мне с трудом даётся встать утром.)
duschen	принимать душ
gleich (Meine Freunde und ich haben die gleichen Interessen.)	одинаковый (У меня и моих друзей одинаковые интересы.)
die S-Bahn, -en	городская электричка
um (+ A.) (Wir treffen uns um acht Uhr.)	в (Мы встретимся в 8 часов.)
die Uni, -s	университет
beziehungsweise (bzw.)	или, соответственно
aktiv	активный
ausruhen (sich)	отдыхать
der Biorhythmus, -rhythmen	биоритм
die Dunkelheit (Sg.)	темнота, тьма, сумрак
die Erfindung, -en	изобретение
die Folge, -n	следствие, результат
die Glühbirne, -n	лампа накаливания, лампочка
die Hauptaussage, -n	главная мысль, основная тема высказывания
immer mehr	всё более
innere	внутренний
das Leistungshoch, -s	поднятие сил
das Leistungstief, -s	упадок сил
das Licht, -er	свет
die Müdigkeit (Sg.)	усталость
der Schlaf (Sg.)	сон
der Unfall, "-e	несчастный случай, авария
verstellen (die Uhr verstellen)	переставлять (перевести часы)
die Leistungsfähigkeit (Sg.)	производительность, работоспособность
frühstücken	завтракать
die Empfehlung, -en	рекомендация, совет
halten (von + D.), hält, hielt, hat gehalten (Was halten Sie von ...?)	быть какого-либо мнения (Как Вы смотрите на то, чтобы...?)
der Tagesablauf, "-e	режим дня
die Arbeitsaufgabe, -n	трудовое задание, рабочее задание
erst	сначала, сперва
das Fest, -e	праздник, торжество
die Firma, Firmen	фирма
gestresst	в стрессе
der/die Kollege/Kollegin, -n/-nen	коллега
morgen (Ich bin morgen zu Abendessen verabredet.)	завтра (Я договорился завтра на совместный ужин.)
der/die Nachmieter/in, -/-nen	следующий квартиросъёмщик
die Prüfung, -en	экзамен
der Prüfungsstoff (Sg.)	экзаменационный материал
renovieren	делать ремонт
die Anzeige, -n	объявление
der Lösungsvorschlag, "-e	предложение решения, вариант решения
reden (mit + D.) (über + A.)	разговаривать
zuerst	сперва
einschlafen, schläft ein, schlief ein, ist eingeschlafen	заснуть
entspannen (sich)	расслабиться, отдыхать
heiß	горячий
die Milch (Sg.)	молоко
das Mittel, -	средство
der Spaziergang, "-e	прогулка пешком
die Stresssituation, -en	стрессовая ситуация
trinken, trinkt, trank, hat getrunken	пить
das Computerprogramm, -e	компьютерная программа
erledigen	выполнить, довести до конца
gleichzeitig	одновременно
konzentrieren (sich) (auf + A.)	сосредоточиться
nachts	ночью, по ночам
schieben, schiebt, schob, hat geschoben (imd. etw. in die Schuhe schieben)	двигать, перекладывать (сваливать свою вину на другого)
der Schuh, -e	обувь
schwer machen (jmd. das Leben schwer machen)	осложнять (осложнять к.-л. жизнь)
seit (Seit ich in dieser Firma arbeite, bin ich gestresst.)	с тех пор как (С тех пор, как я работаю в этой фирме, я испытываю стресс.)
stressen (sich)	создавать стресс
überfordert	перенапряжённый, загруженный (например, работой)
die Wendung, -en	выражение, оборот речи
einzeln	отдельный, частный
das Verständnis (Sg.)	понимание
damals	тогда, в то время
der Gliederungspunkt, -e	подпункт
natürlich (Es ist ganz natürlich, dass ...) 	естественно (Это совершенно естественно, что...)
verständlich	понятно, вразумительно
der Start, -s	начало
sodass	так что
der Absatz, "-e (Der Absatz dieses Produkts ist von 2000 auf 1000 gesunken.)	сбыт (Сбыт этой продукции упал с 2000 до 1000.)
angesehen (Er ist ein Fachmann und für seine Leistungen hoch angesehen.)	уважаемый, авторитетный (Он профессионал, и пользуется уважением за свои результаты.)
die Anlage, -n (vor dem Hotel gibt es ein paar Anlagen für Tennis, Golf usw.)	сооружение (Перед отелем есть несколько сооружений для тенниса, гольфа и т.д.)
der Anteil, -e	участие, доля, удельный вес
der Aufschwung, "-e	подъём, взлёт
aufteilen (unter + D.)	разделить, поделить
ausscheiden, scheidet aus, schied aus, ist ausgeschieden (Unser Fußballverein schied in der 3. Runde des Turniers aus.)	выбывать, исключаться (Наш футбольный клуб выбыл из третьего тура соревнования.)
beitragen (zu + D.), trägt bei, trug bei, hat beigetragen (Sein Engagement hat zur Berühmtheit der Marke beigetragen.)	содействовать, вносить свой вклад (Его активность внесла вклад в популярность марки.)
beschließen, beschließt, beschloss, hat beschlossen	принимать решение
der Besitz, -e	владение
die Börse, -n (Aktien werden an der Börse gehandelt.)	биржа (Торговые дела над акциями ведутся на бирже.)
der Bruder, "-	брат
die Confiserie, -n	кондитерская
enorm	очень, чрезвычайно
erbauen	сооружать
die Erfolgsgeschichte, -n	история успеха
erhalten, erhält, erhielt, hat erhalten (anbei erhalten Sie ein Paket mit den bestellten Büchern.)	получать (К сему Вы получаете пакет с заказанными книгами.)
erwerben, erwirbt, erwarb, hat erworben (Meine Frau und ich haben ein kleines Haus auf dem Land erworben.)	приобретать (Моя жена и я приобрели маленький домик за городом.)
der Export, -e	экспорт
die Fabrik, -en	фабрика
die Fabrikanlage, -n	оборудование фабрики
der/die Fabrikant/in, -en/-nen	предприниматель, изготовитель
das Fabrikationsgeheimnis, -se	секрет изготовления
der Fachmann, "-er	специалист
fest	твёрдый
die Form, -en	форма
gelistet	находиться в списке
herstellen	производить
die Konditorei, -en	кондитерская
kräftig	сильный
der Krieg, -e	война
die Krisenzeit, -en	период кризиса
die Marke, -n	марка
nach und nach (Ich lebe seit drei Monaten hier. Nach und nach werden meine Deutschkenntnisse besser.)	постепенно, потихоньку (Я живу здесь 3 месяца. Постепенно мои знания немецкого становятся лучше.)
der/die Nachfolger/in, -/-nen	наследник, преемник
die Nachfrage, -n	спрос
die Produktion, -en	продукция
rasch	быстро, живо
risikofreudig	готовый пойти на риск, рискованный
der Rückgang, "-e	спад, снижение
der Ruf (Sg.) (einen guten/schlechten Ruf haben)	репутация, слава (пользоваться доброй/дурной славой)
die Schleckerei, -en	лакомство
die Schokoladenmanufaktur, -en	шоколадная мануфактура
der Stand, "-e	состояние
überstehen, übersteht, überstand, hat überstanden (Unsere Beziehung hat schon viele Krisen überstanden.)	пережить, перенести, выдержать (Наши отношения пережили уже много кризисов.)
überwiegend	преимущественно
der/die Unternehmerin, -/-nen	предприниматель
verfügen (über + A.) (Er verfügt über einen großen Vorrat an Wissen.)	обладать, иметь в распоряжении (Он обладает большим запасом знаний.)
vergrößern	увеличивать
verlagern	перемещать, перебазировать
der/die Verwandte, -n	родственник
