german,russian
Der Reißverschluß,"застежка, молния"
Der Riemen,"ремень, пояс"
Der Rock,юбка
Der Rollkragenpullover,свитер
Der Schaftstiefel,высокий сапог
Der Schal,"шаль, шарф, кашне"
Der Schianzug,лыжный костюм
Der Schlafanzug,пижама
Der Schlafrock,домашний халат
Der Schleier,"вуаль, фата, чадра"
Der Schlips,галстук
Der Schnürsenkel,шнурок для ботинок
Der Schuh,"ботинок, обувь"
Der Smoking,смокинг
Der Sportanzug,спортивный костюм
Der Stehkragen,стоячий воротник
Der Stiefel,сапог
Der Strandanzug,пляжный костюм
Der Strumpf,чулок
Der Trägerrock,сарафан
Der Trainingsanzug,тренировочный костюм
Der Umlegekragen,отложной воротник
Der Unterrock,нижняя юбка
Der Winteroverall,зимний комбинезон
Die Alltagskleidung,повседневная одежда
Die Arbeitskleidung,рабочая одежда
Die Badehosen,"плавки, купальные трусы"
Die Baskenmütze,берет
Die Berufskleidung,"рабочая одежда, спецовка"
Die Bluse,"блузка, кофточка"
Die Brille,очки
Die Damenbekleidung,женская одежда
Die Damenunterwäsche,женское бельё
Die Geldborse,кошелек
Die Halbschuhe,"полуботинки, туфли"
Die Handschuhe,перчатки
Die Handtasche,сумочка
Die Herrenbekleidung,мужская одежда
Die Hose,"брюки, штаны"
Die Jacke,"куртка, пиджак, кофта, кофточка"
Die Jeans,джинсы
Die Kappe,"шапка, колпак; капюшон"
Die Kapuze,капюшон
Die Kinderkleidung,детская одежда
Die Kleidung,одежда
Die Kopfbedeckung,головной убор
Die Krawatte,галстук
Die Krawatte-Schmetterling,галстук-бабочка
Die Mokassins,мокасины
Die Mütze,"шапка, фуражка"
Die Oberbekleidung,верхняя одежда
Die Oberkleidung,верхнее платье
Die Pantoffeln,"шлепанцы, тапочки"
Die Pelzmütze,меховая шапка
Die Pluderhosen,шаровары
Die Sandalen,сандалии
Die Sandalette,"босоножка, сандалета"
Die Schirmmütze,"фуражка, картуз, кепка, кепи"
Die Schnalle,"пряжка, застёжка"
Die Schneekappe,снежная шапка
Die Schuhe,"обувь, ботинки, башмаки, туфли"
Die Schürze,"фартук, передник"
Die Shorts,шорты
Die Socke,"носок, короткий чулок"
Die Sportschuhe,"кроссовки, спортивная обувь"
Die Stiefel,сапоги
Die Strickjacke,"вязаная кофта, вязаный жакет"
Die Strümpfe,чулки
Die Strumpfhosen,"колготки, рейтузы"
Die Tasche,сумка
Die Tennisschuhe,теннисные туфли
Die Turnschuhe,"гимнастические туфли, тапочки"
Die Uniform,"мундир, форма, форменная одежда"
Die Unterhosen,кальсоны
Die Unterkleidung,нижнее бельё
Die Unterwäsche,нижнее белье
Die Weste,жилет
Die Windjacke,ветровка
Zweireihige Jacke,двубортный пиджак
das Tier (-e),животное
der Affe (-n),обезьяна
das Faultier (-e),ленивец
der Bär (-en),медведь
der Eisbär (-en),белый медведь
der Panda (-s),панда
der Koala (-s),коала
der Hund (-e),собака
der Wolf ( ̈ -e),волк
der Fuchs ( ̈ -e),лиса
der Kater,кот
die Katze (-n),кошка
der Luchs (-e),рысь
der Gepard (-en),гепард
der Leopard (-en),леопард
der Jaguar (-e),ягуар
der Löwe (-n),лев
das Schaf (-e),овца
das Lama (-s),лама
die Ziege (-n),коза
der Igel,ёж
der Maulwurf ( ̈ -e),крот
das Schwein (-e),свинья
das Wildschwein (-e),кабан
das Meerschweinchen,морская свинка
der Marder,куница
der Dachs (-e),барсук
das Stinktier (-e),скунс
das Eichhörnchen,белка
der Biber,бобр
der Hase (-n),заяц
das Kaninchen,кролик
das Känguru (-s),кенгуру
das Kamel (-e),верблюд
die Giraffe (-n),жираф
das Pferd (-e),лошадь
der Esel,осёл
das Zebra (-s),зебра
das Reh (-e),косуля
die Gazelle (-n),газель
der Hirsch (-e),олень
der Elch (-e),лось
die Kuh ( ̈ -e),корова
der Stier (-e) / Bulle (-n),бык
der Elefant (-en),слон
das Nashorn ( ̈ -ner),носорог
das Nilpferd (-e),бегемот
die Robbe (-n) / der Seehund (-e),тюлень
der Pinguin (-e),пингвин
der Delphin (-e),дельфин
der Wal (-e),кит
der Hai (-e),акула
der Fisch (-e),рыба
die Ente (-n),утка
die Gans ( ̈ -e),гусь
der Schwan ( ̈ -e),лебедь
der Vogel ( ̈ ),птица
die Eule (-n),сова
der Papagei (-en),попугай
der Storch ( ̈ -e),аист
der Strauß (-e),страус
die Henne (-n),курица
der Hahn ( ̈ -e),петух
die Ratte (-n),крыса
die Maus ( ̈ -e),мышь
die Fledermaus ( ̈ -e),летучая мышь
der Schmetterling (-e),бабочка
die Raupe (-n),гусеница
der Wurm ( ̈ -er),червь
die Schnecke (-n),улитка
die Schlange (-n),змея
die Eidechse (-n),ящерица
das Chamäleon (-s),хамелеон
das Krokodil (-e),крокодил
der Frosch ( ̈ -e),лягушка
die Kröte (-n),жаба
die Schildkröte (-n),черепаха
der/die Krake (-n),осьминог
die Qualle (-n),медуза
